date,heartrate
2025-03-07 12:01:53 +0100,139.0
2025-03-07 12:01:56 +0100,141.0
2025-03-07 12:02:00 +0100,139.0
2025-03-07 12:02:07 +0100,131.0
2025-03-07 12:02:12 +0100,130.0
2025-03-07 12:02:15 +0100,128.0
2025-03-07 12:02:19 +0100,128.0
2025-03-07 12:02:24 +0100,124.0
2025-03-07 12:02:29 +0100,131.0
2025-03-07 12:02:37 +0100,130.0
2025-03-07 12:02:39 +0100,129.0
2025-03-07 12:02:48 +0100,125.0
2025-03-07 12:02:49 +0100,124.0
2025-03-07 12:02:57 +0100,118.0
2025-03-07 12:03:00 +0100,114.0
2025-03-07 12:03:08 +0100,124.0
2025-03-07 12:03:09 +0100,123.0
2025-03-07 12:03:18 +0100,120.0
2025-03-07 12:03:23 +0100,118.0
2025-03-07 12:03:28 +0100,116.0
2025-03-07 12:03:30 +0100,117.0
2025-03-07 12:03:38 +0100,126.0
2025-03-07 12:03:42 +0100,125.0
2025-03-07 12:03:45 +0100,126.0
2025-03-07 12:03:53 +0100,120.0
2025-03-07 12:03:57 +0100,119.0
2025-03-07 12:03:59 +0100,119.0
2025-03-07 12:04:04 +0100,123.0
2025-03-07 12:04:13 +0100,113.0
2025-03-07 12:04:18 +0100,107.0
2025-03-07 12:04:21 +0100,109.0
2025-03-07 12:04:28 +0100,108.0
2025-03-07 12:04:31 +0100,108.0
2025-03-07 12:04:34 +0100,109.0
2025-03-07 12:04:42 +0100,113.0
2025-03-07 12:04:48 +0100,107.0
